Director,Actor/Actress,Movies
David Lynch,Laura Dern,"['Blue Velvet', 'Wild at Heart', 'Inland Empire']"
David O. Russell,Bradley Cooper,"['Silver Linings Playbook', 'Joy', 'American Hustle']"
David O. Russell,Christian Bale,"['Amsterdam', 'American Hustle', 'The Fighter']"
David O. Russell,Jennifer Lawrence,"['Silver Linings Playbook', 'Joy', 'American Hustle']"
David O. Russell,Mark Wahlberg,"['The Fighter', 'Three Kings', 'I Heart Huckabees']"
David Pastor,Àlex Pastor,"['Bird Box: Barcelona', 'Carriers', 'Hogar']"
David Twohy,Vin Diesel,"['The Chronicles of Riddick', 'Riddick', 'Pitch Black', 'Riddick: Furya']"
David Wain,Paul Rudd,"['Wanderlust', 'Role Models', 'They Came Together']"
David Yates,Dan Fogler,"['Fantastic Beasts: The Secrets of Dumbledore', 'Fantastic Beasts and Where to Find Them', 'Fantastic Beasts: The Crimes of Grindelwald']"
David Yates,Daniel Radcliffe,"['Harry Potter and the Deathly Hallows - Part 2', 'Harry Potter and the Deathly Hallows - Part 1', 'Harry Potter and the Half-Blood Prince', 'Harry Potter and the Order of the Phoenix']"
David Yates,Eddie Redmayne,"['Fantastic Beasts: The Secrets of Dumbledore', 'Fantastic Beasts and Where to Find Them', 'Fantastic Beasts: The Crimes of Grindelwald']"
David Yates,Emma Watson,"['Harry Potter and the Deathly Hallows - Part 2', 'Harry Potter and the Deathly Hallows - Part 1', 'Harry Potter and the Half-Blood Prince', 'Harry Potter and the Order of the Phoenix']"
David Yates,Rupert Grint,"['Harry Potter and the Deathly Hallows - Part 2', 'Harry Potter and the Deathly Hallows - Part 1', 'Harry Potter and the Half-Blood Prince', 'Harry Potter and the Order of the Phoenix']"
Dean DeBlois,Chris Sanders,"['How to Train Your Dragon', 'Lilo & Stitch', 'Lilo & Stitch']"
Dean DeBlois,Jay Baruchel,"['How to Train Your Dragon', 'How to Train Your Dragon: The Hidden World', 'How to Train Your Dragon 2']"
Denis Villeneuve,Timothée Chalamet,"['Dune: Part Two', 'Dune', 'Dune: Messiah']"
Denis Villeneuve,Zendaya,"['Dune: Part Two', 'Dune', 'Dune: Messiah']"
Dennis Dugan,Adam Sandler,"['Happy Gilmore', 'Grown Ups', 'Grown Ups 2', 'Just Go with It', 'Big Daddy', ""You Don't Mess with the Zohan"", 'I Now Pronounce You Chuck & Larry', 'Jack and Jill']"
Dennis Dugan,Kevin James,"['Grown Ups', 'Grown Ups 2', 'I Now Pronounce You Chuck & Larry']"
Denzel Washington,Denzel Washington,"['Fences', 'The Great Debaters', 'Antwone Fisher']"
Destin Daniel Cretton,Brie Larson,"['The Glass Castle', 'Just Mercy', 'Short Term 12']"
Don Bluth,Dom DeLuise,"['All Dogs Go to Heaven', 'The Secret of NIMH', 'An American Tail']"
